City,Population,Users
ATLANTA GA,"814,885","24,701"
AUSTIN TX,"698,371","14,978"
BOSTON MA,"248,968","80,021"
CHICAGO IL,"1,955,130","164,468"
DALLAS TX,"942,908","22,157"
DENVER CO,"754,233","12,421"
LOS ANGELES CA,"1,595,037","144,132"
MIAMI FL,"1,339,155","17,675"
NASHVILLE TN,"327,225","9,270"
NEW YORK NY,"8,405,837","302,149"
ORANGE COUNTY,"1,030,185","12,994"
PHOENIX AZ,"943,999","6,133"
PITTSBURGH PA,"542,085","3,643"
SACRAMENTO CA,"545,776","7,044"
SAN DIEGO CA,"959,307","69,995"
SAN FRANCISCO CA,"629,591","213,609"
SEATTLE WA,"671,238","25,063"
SILICON VALLEY,"1,177,609","27,247"
TUCSON AZ,"631,442","5,712"
WASHINGTON DC,"418,859","127,001"
