Customer ID,Gender,Age,Income (USD/Month)
60000,Female,27,20303
59999,Male,38,24577
59998,Female,23,5678
59997,Male,63,22352
59996,Male,51,16634
59995,Male,24,21184
59994,Female,24,4475
59993,Female,35,19747
59992,Female,29,5257
59991,Female,25,7342
59990,Male,28,33746
59989,Female,22,20865
59988,Male,38,16924
59987,Female,30,20166
59986,Female,63,31348
59985,Male,37,7605
59984,Male,19,11583
59983,Male,40,20442
59982,Male,50,3980
59981,Female,64,34545
59980,Male,38,20364
59979,Male,31,12726
59978,Female,62,6671
59977,Female,27,18461
59976,Female,21,8706
59975,Male,33,15261
59974,Male,19,15527
59973,Female,20,29282
59972,Female,52,22370
59971,Female,28,3842
59970,Male,61,26745
59969,Female,48,11487
59968,Female,22,10277
59967,Female,34,2020
59966,Female,29,20472
59965,Male,43,19077
59964,Male,31,11266
59963,Female,37,3221
59962,Male,26,7649
59961,Male,61,12377
59960,Female,37,8976
59959,Female,23,32095
59958,Female,26,14457
59957,Male,43,15759
59956,Female,26,11579
59955,Female,34,17963
59954,Male,48,31624
59953,Female,34,5630
59952,Female,37,12619
59951,Female,33,15236
59950,Male,56,6974
59949,Male,58,5287
59948,Male,21,4583
59947,Male,36,24457
59946,Male,38,11592
59945,Male,23,22755
59944,Male,18,29612
59943,Female,22,13999
59942,Male,63,3697
59941,Male,23,27445
59940,Female,40,19340
59939,Male,23,5888
59938,Female,25,19273
59937,Female,30,18431
59936,Female,31,15509
59935,Female,19,19326
59934,Female,64,20261
59933,Female,24,26248
59932,Male,27,11852
59931,Male,39,23692
59930,Male,23,5869
59929,Female,22,22411
59928,Female,23,18028
59927,Female,40,14228
59926,Female,59,4172
59925,Male,36,24313
59924,Male,55,4870
59923,Female,33,19089
59922,Male,40,21829
59921,Female,31,20826
59920,Male,57,32552
59919,Female,34,16500
59918,Male,37,18201
59917,Male,32,12655
59916,Female,32,8808
59915,Male,46,23654
59914,Female,37,15174
59913,Male,32,28261
59912,Male,33,23197
59911,Male,46,16934
59910,Male,34,18846
59909,Male,30,12541
59908,Male,30,8909
59907,Male,41,17736
59906,Male,63,16550
59905,Female,37,34631
59904,Female,20,17680
59903,Female,20,2283
59902,Male,39,13805
59901,Male,32,17333
59900,Male,41,6563
59899,Male,24,22387
59898,Female,47,30255
59897,Female,27,13589
59896,Male,36,19514
59895,Male,37,15307
59894,Male,25,18429
59893,Male,59,16873
59892,Male,20,14584
59891,Male,65,15617
59890,Male,39,22505
59889,Male,34,16173
59888,Male,19,8758
59887,Male,64,6409
59886,Male,33,19633
59885,Male,26,34484
59884,Female,40,19194
59883,Male,32,17348
59882,Male,19,5484
59881,Male,33,18239
59880,Female,21,23116
59879,Female,20,17209
59878,Male,45,7254
59877,Male,27,19520
59876,Male,50,26063
59875,Female,28,22043
59874,Male,50,20376
59873,Female,30,7921
59872,Male,32,6796
59871,Male,18,10289
59870,Female,33,14112
59869,Male,38,4045
59868,Male,32,20312
59867,Female,49,26376
59866,Female,35,23600
59865,Female,35,29868
59864,Female,19,15960
59863,Male,41,28642
59862,Male,21,3030
59861,Male,23,19231
59860,Female,22,12471
59859,Male,64,19751
59858,Female,20,12561
59857,Male,19,5574
59856,Male,40,8986
